"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"1","Selver","Täissööt. Kassikonserv lõhe, kana tükkidega, GOURMET GOLD, 85g",0.87,10.24
"2","Selver","Täissööt. Kiisueine steriliseeritud kassidele lõhe ja porgandiga 4-pakk, PURINA ONE, 340g",2.99,8.79
"3","Selver","Täissööt. Kuiv kassitoit, steriliseeritud kassidele, lõhe ja nisu, PURINA ONE, 1,5kg",7.99,5.33
"4","Selver","Täiendsööt. Kassimaiused Grill veise, kana ja lõhe maitsega, FELIX, 60g",1.75,29.17
"5","Selver","Lisasööt. Kassieine tuunikala lõhe+tuunikala krevett tarrendis, PRIMACAT, 200g",4.69,23.45
"6","Selver","Lõhe roogitud, jahutatud, M.V.WOOL, kg",14.99,14.99
"7","Selver","Lõhe omas mahlas EO, KAPTEN GRANT, 230 g",2.59,11.26
"8","Selver","Lõhe liblikfilee jahutatud, SELVER, kg",24.9,24.9
"9","Selver","Lõhe liblikfilee karulaugumarinaadis, SELVER, kg",29.9,29.9
"10","Selver","Õllekrõps lõhe nahast, M.V.WOOL, 50 g",2.19,43.8
"11","Selver","Lõhe teriyaki-kastmes, RANNAKÜLA, 120 g",2.49,20.75
"12","Selver","Lõhe sinepikastmes, BANGA, 120 g",2.49,20.75
"13","Selver","Lõhefilee jahutatud C-trim, DTRIM GRUPP, kg",15.99,15.99
"14","Selver","Soolalõhefilee viilutatud, SELVER, kg",27.9,27.9
"15","Selver","Soolalõhe fileelõigud viilutatud, M.V.WOOL, 100 g",4.39,43.9
"16","Selver","Õrnsoola lõhefilee viilud, AVEKTRA, 100 g",4.49,44.9
"17","Selver","Külmsuitsu lõhefilee, M.V.WOOL, 100 g",2.99,29.9
"18","Selver","Suitsulõhemääre, SELVER, kg",29.9,29.9
"19","Selver","Külmsuitsu lõhefilee viilutatud, VICI, 100 g",3.59,35.9
"20","Selver","Lõhefilee portsjon grillitud, SAARE KALA, 120 g",4.99,41.58
"21","Selver","Külmsuitsu lõhefilee tükk, VICI, 160 g",5.99,37.44
"22","Selver","Lõhepasteet MSC, ASC, ABBA, 145 g",2.59,17.86
"23","Selver","Suflee lõhefileest, AVEKTRA, 220 g",4.29,19.5
"24","Selver","Lõherull kuumsuitsu, KÕRVEKÜLA KALATÖÖSTUS, kg",13.99,13.99
"25","Selver","Lõhefilee portsjonid, AVEKTRA, 250 g",8.39,33.56
"26","Selver","Lõhepasteet, DELAMARIS, 95 g",2.19,23.05
"27","Selver","Troopiline lõhefilee, SELVER, kg",29.9,29.9
"28","Selver","Täiskasvanud koertele lõhe-kartuli teraviljavaba täistoit, PRIMADOG, 3kg",21.9,7.3
"29","Selver","Lõhepasteet, RIO MARE, 100 g",3.89,38.9
"30","Selver","Paneeritud lõheburger, VICI, 250 g",2.59,10.36
"31","Selver","Külmsuitsu lõhefilee tükk, AVIKALA, kg",45.9,45.9
"32","Selver","Lõhetasku mozzarellaga, SELVER, kg",28.9,28.9
"33","Selver","Täiendsööt. Kassimaius FELIX Deli Moments lõhe 4x10g, FELIX,",1.99,49.75
"34","Selver","Täistoit. Kiisueine lõhega, SHEBA, 85g",0.72,8.47
"35","Selver","Külmsuitsu lõheviilud, AVEKTRA, 100 g",4.49,44.9
"36","Selver","Graavilõhe viilutatud nahata, SELVER, kg",34.9,34.9
"37","Selver","Täiendsööt. Creamy kreemjas suupiste kassile lõhega, SHEBA, 48g",2.49,51.88
"38","Selver","Kuumsuitsu lõhe/forelliribid, M.V.WOOL, kg",4.99,4.99
"39","Selver","Täiendsööt. Kassi suupiste lõhega, DREAMIES, 60g",1.29,21.4975977653631
"40","Selver","Toorjuust lõhega, MIREE, 150 g",2.29,15.27
"41","Selver","Täissööt. Kuivtoit koerale lõhe/riis Delicate Mini, PURINA ONE, 1,5kg",7.99,5.32444537114262
"42","Selver","HULGI Kuivsööt steriliseeritud kassidele lõhega 3tk, PURINA ONE, 3 x 1,5kg",22.5,5
"43","Selver","Porgandi-kartulipüree merilõhega mahe 4+, HIPP, 190 g",2.69,14.16
