"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"73","Rimi","Kassieine Gourmet lõhe/kana,tükid,85g",0.89,10.47
"74","Rimi","Kassitoit One Steriliseeri. kassid lõhe 4x85g",3.99,11.74
"75","Rimi","Kiisueine Sheba Cusine lõhe 85g",0.99,11.65
"76","Rimi","Itaalia salat lõhega Rimi 220g",2.19,9.95
"77","Rimi","Kasside suupisted ICA lõhe maitsega 60 g",1.39,23.17
"78","Rimi","Kassisööt Friskies lõhe-tuun.-juurv. 1 k",4.99,4.99
"79","Rimi","Lõhe Rimi sidruni maitsega 170g/119g",2.75,23.11
"80","Rimi","Kassieine Schesir tuunikala-lõhe 85g",2.75,32.35
"81","Rimi","Kassisööt Nutribalance lõhega 85g",0.79,9.29
"82","Rimi","Lõhe, tükeldatud, külmutatud 500g",7.59,15.18
"83","Rimi","Kreemjas kassimaius Sheba lõhega 4x12g",2.19,45.62
"84","Rimi","Kassisööt Nutribalance lõhega,steril.85g",0.79,9.29
"85","Rimi","Kassisööt Nutribalance lõh.,veisel.340g",2.15,6.32
"86","Rimi","Püree I Love Eco juurv.lõhe 6k 120g",1.79,14.92
"87","Rimi","Kassitoit One Adult lõhe-täisteranisu 800g",6.99,8.74
"88","Rimi","Koeratoit Optimeal lõhega 100g",1.65,16.5
"89","Rimi","Kassisööt kuiv One sterilis. lõhe 1,5kg",10.99,7.33
"90","Rimi","Kreemjuust lõhe ja tilliga Tartare 140g",2.49,NA
"91","Rimi","Kassisööt Friskies lõhe & aedviljad 300g",2.09,6.97
"92","Rimi","Lasanje lõhe ja spinatiga ICA 350g",3.99,11.4
"93","Rimi","Girasoli Selection by Rimi lõhega 250g",2.99,11.96
"94","Rimi","Täidetud oliivid lõhega Mikado 280/90g",1.69,18.78
"95","Rimi","Kassimaius lõhega Nutribalance Pro ASC 40g",1.75,43.75
"96","Rimi","Koeravorst lõhega, aur. Yummy Sensitive 400g",3.69,9.22
"97","Rimi","Kiisueine Gourmet Gold Succ. Delights 4x85g",3.49,10.26
"98","Rimi","Kassitoit kuiv Purina One Steril. lõhega 800g",6.79,8.49
